1;1.000000;1;1;10;1;1.000000;1
1;1.000000;1;1;10;1;1.000000;12;0;-nan;0
1;1.000000;1;1;10;1;1.000000;12;0;-nan;03;0;-nan;0
2;1.000000;1;2;20;1;1.000000;12;1;1.000000;13;0;-nan;0
5;1.250000;2;3;1;50;1;1.000000;12;4;1.333333;23;0;-nan;0
10;1.428571;2;4;3;100;1;1.000000;12;9;1.500000;23;0;-nan;0
11;1.375000;2;5;3;110;1;1.000000;12;9;1.500000;23;1;1.000000;1
14;1.400000;2;6;4;140;4;1.333333;22;9;1.500000;23;1;1.000000;1
17;1.416667;2;7;5;170;4;1.333333;22;9;1.500000;23;4;1.333333;2
22;1.466667;2;8;7;220;4;1.333333;22;9;1.500000;23;9;1.500000;2
29;1.526316;2;9;10;290;4;1.333333;22;16;1.600000;23;9;1.500000;2
34;1.545455;2;10;12;340;9;1.500000;22;16;1.600000;23;9;1.500000;2
46;1.703704;3;11;13;3;460;9;1.500000;22;28;1.866667;33;9;1.500000;2
58;1.757576;3;12;17;4;580;9;1.500000;22;40;1.904762;33;9;1.500000;2
65;1.756757;3;13;20;4;650;9;1.500000;22;40;1.904762;33;16;1.600000;2
74;1.761905;3;14;24;4;740;9;1.500000;22;40;1.904762;33;25;1.666667;2
81;1.760870;3;15;27;4;810;16;1.600000;22;40;1.904762;33;25;1.666667;2
100;1.886792;4;16;28;8;1;1000;16;1.600000;22;59;2.107143;43;25;1.666667;2
121;1.983607;4;17;30;12;2;1210;16;1.600000;22;80;2.222222;43;25;1.666667;2
133;2.015152;4;18;31;15;2;1330;28;1.866667;32;80;2.222222;43;25;1.666667;2
144;2.000000;4;19;36;15;2;1440;28;1.866667;32;80;2.222222;43;36;1.714286;2
162;2.076923;4;20;37;16;5;1620;46;2.190476;42;80;2.222222;43;36;1.714286;2
192;2.206897;5;21;38;18;9;1;1920;46;2.190476;42;110;2.444444;53;36;1.714286;2
224;2.309278;5;22;40;20;13;2;2240;46;2.190476;42;142;2.581818;53;36;1.714286;2
242;2.326923;5;23;41;25;13;2;2420;46;2.190476;42;142;2.581818;53;54;1.928571;3
264;2.357143;5;24;42;30;14;2;2640;46;2.190476;42;142;2.581818;53;76;2.111111;4
283;2.338843;5;25;48;32;14;2;2830;46;2.190476;42;142;2.581818;53;95;2.111111;4
310;2.366412;5;26;50;38;15;2;3100;46;2.190476;42;142;2.581818;53;122;2.218182;4
343;2.415493;5;27;51;44;18;2;3430;46;2.190476;42;142;2.581818;53;155;2.348485;4
380;2.467532;5;28;52;50;22;2;3800;46;2.190476;42;142;2.581818;53;192;2.461538;4
401;2.490683;5;29;53;53;23;3;4010;67;2.392857;52;142;2.581818;53;192;2.461538;4
420;2.485207;5;30;57;55;24;3;4200;86;2.388889;52;142;2.581818;53;192;2.461538;4
450;2.472527;5;31;64;60;24;3;4500;86;2.388889;52;142;2.581818;53;222;2.439560;4
493;2.554404;6;32;65;62;26;7;1;4930;86;2.388889;52;185;2.803030;63;222;2.439560;4
514;2.544554;6;33;70;64;27;7;1;5140;107;2.377778;52;185;2.803030;63;222;2.439560;4
547;2.556075;6;34;75;67;29;8;1;5470;107;2.377778;52;218;2.794872;63;222;2.439560;4
582;2.563877;6;35;81;70;31;9;1;5820;107;2.377778;52;253;2.780220;63;222;2.439560;4
619;2.568465;6;36;88;73;33;10;1;6190;107;2.377778;52;290;2.761905;63;222;2.439560;4
671;2.631373;6;37;89;75;40;13;1;6710;107;2.377778;52;290;2.761905;63;274;2.609524;5
713;2.640741;6;38;92;84;42;13;1;7130;107;2.377778;52;332;2.766667;63;274;2.609524;5
757;2.646853;6;39;96;93;44;13;1;7570;107;2.377778;52;376;2.764706;63;274;2.609524;5
788;2.662162;6;40;97;98;46;14;1;7880;138;2.509091;52;376;2.764706;63;274;2.609524;5
833;2.661342;6;41;105;103;48;15;1;8330;138;2.509091;52;421;2.751634;63;274;2.609524;5
882;2.664653;6;42;110;113;50;15;1;8820;138;2.509091;52;470;2.748538;63;274;2.609524;5
950;2.714286;6;43;111;118;60;17;1;9500;138;2.509091;52;538;2.831579;63;274;2.609524;5
1004;2.750685;6;44;113;120;67;20;1;10040;138;2.509091;52;538;2.831579;63;328;2.733333;5
1037;2.757979;6;45;115;125;69;21;1;10370;171;2.590909;52;538;2.831579;63;328;2.733333;5
1103;2.785354;6;46;118;131;78;22;1;11030;171;2.590909;52;604;2.876190;63;328;2.733333;5
1161;2.784173;6;47;127;137;82;23;1;11610;171;2.590909;52;662;2.865801;63;328;2.733333;5
1233;2.808656;6;48;131;143;92;24;1;12330;171;2.590909;52;734;2.901186;63;328;2.733333;5
1297;2.807359;6;49;141;149;97;25;1;12970;171;2.590909;52;798;2.891304;63;328;2.733333;5
1385;2.849794;6;50;142;154;112;27;1;13850;171;2.590909;52;886;2.953333;63;328;2.733333;5
1476;2.888454;6;51;144;164;117;33;2;14760;171;2.590909;52;977;3.006154;63;328;2.733333;5
1549;2.884544;6;52;150;180;120;33;2;15490;171;2.590909;52;1050;2.991453;63;328;2.733333;5
1650;2.925532;6;53;151;190;128;39;3;16500;171;2.590909;52;1151;3.044974;63;328;2.733333;5
1729;2.920608;6;54;162;199;134;40;3;17290;171;2.590909;52;1230;3.029557;63;328;2.733333;5
1781;2.929276;6;55;164;206;138;42;3;17810;171;2.590909;52;1230;3.029557;63;380;2.794118;5
1914;3.004710;7;56;165;207;149;50;9;1;19140;171;2.590909;52;1363;3.133333;73;380;2.794118;5
2047;3.068966;7;57;166;211;156;63;12;2;20470;171;2.590909;52;1496;3.217204;73;380;2.794118;5
2155;3.087393;7;58;171;219;169;66;13;2;21550;171;2.590909;52;1604;3.233871;73;380;2.794118;5
2184;3.076056;7;59;177;223;170;66;13;2;21840;200;2.564103;52;1604;3.233871;73;380;2.794118;5
2242;3.100968;7;60;178;224;171;72;16;2;22420;258;2.835165;62;1604;3.233871;73;380;2.794118;5
2302;3.123474;7;61;180;225;172;78;19;2;23020;318;3.028571;62;1604;3.233871;73;380;2.794118;5
2470;3.211964;8;62;181;226;177;85;32;5;1;24700;318;3.028571;62;1772;3.356061;83;380;2.794118;5
2513;3.197201;8;63;189;232;179;85;32;5;1;25130;318;3.028571;62;1772;3.356061;83;423;2.764706;5
2559;3.194757;8;64;191;239;184;85;32;5;1;25590;364;3.033333;62;1772;3.356061;83;423;2.764706;5
2604;3.179487;8;65;200;245;186;85;32;5;1;26040;364;3.033333;62;1772;3.356061;83;468;2.736842;5
2651;3.163484;8;66;210;251;188;85;32;5;1;26510;364;3.033333;62;1772;3.356061;83;515;2.710526;5
2750;3.157290;8;67;217;269;193;87;32;5;1;27500;364;3.033333;62;1871;3.335116;83;515;2.710526;5
2853;3.152486;8;68;229;279;201;89;33;5;1;28530;364;3.033333;62;1974;3.317647;83;515;2.710526;5
2918;3.154595;8;69;231;289;206;91;33;5;1;29180;364;3.033333;62;1974;3.317647;83;580;2.761905;5
2976;3.162593;8;70;232;295;211;92;35;5;1;29760;422;3.102941;62;1974;3.317647;83;580;2.761905;5
3048;3.181628;8;71;235;296;213;98;39;5;1;30480;494;3.228758;62;1974;3.317647;83;580;2.761905;5
3182;3.204431;8;72;238;308;221;106;41;6;1;31820;494;3.228758;62;2108;3.346032;83;580;2.761905;5
3270;3.224852;8;73;239;309;231;112;43;6;1;32700;494;3.228758;62;2108;3.346032;83;668;2.891775;6
3378;3.217143;8;74;252;320;239;114;44;6;1;33780;494;3.228758;62;2216;3.327327;83;668;2.891775;6
3450;3.230337;8;75;253;322;246;121;44;6;1;34500;566;3.309942;62;2216;3.327327;83;668;2.891775;6
3521;3.239190;8;76;255;328;251;123;47;6;1;35210;637;3.352632;62;2216;3.327327;83;668;2.891775;6
3580;3.233966;8;77;262;335;253;126;47;6;1;35800;696;3.314286;62;2216;3.327327;83;668;2.891775;6
3689;3.270390;8;78;263;338;254;128;55;11;1;36890;805;3.484848;72;2216;3.327327;83;668;2.891775;6
3761;3.270435;8;79;266;348;259;131;55;11;1;37610;805;3.484848;72;2216;3.327327;83;740;2.924901;6
3850;3.282182;8;80;269;350;269;137;56;11;1;38500;805;3.484848;72;2216;3.327327;83;829;3.003623;6
3996;3.302479;8;81;270;357;289;143;58;11;1;39960;805;3.484848;72;2362;3.359886;83;829;3.003623;6
4176;3.346154;8;82;271;360;302;151;67;13;2;41760;805;3.484848;72;2542;3.430499;83;829;3.003623;6
4331;3.365190;8;83;272;373;313;161;69;14;2;43310;805;3.484848;72;2697;3.457692;83;829;3.003623;6
4416;3.368421;8;84;273;383;321;165;69;14;2;44160;805;3.484848;72;2697;3.457692;83;914;3.046667;6
4505;3.372006;8;85;274;393;330;169;69;14;2;45050;805;3.484848;72;2697;3.457692;83;1003;3.086154;6
4688;3.406977;8;86;275;398;339;186;74;16;2;46880;805;3.484848;72;2880;3.512195;83;1003;3.086154;6
4852;3.424135;8;87;277;405;359;194;77;16;2;48520;805;3.484848;72;3044;3.535424;83;1003;3.086154;6
4987;3.455994;8;88;278;406;360;204;86;19;2;49870;805;3.484848;72;3044;3.535424;83;1138;3.242165;7
5084;3.458503;8;89;280;416;369;208;87;19;2;50840;805;3.484848;72;3044;3.535424;83;1235;3.267196;7
5167;3.463137;8;90;283;423;374;210;90;20;2;51670;888;3.509881;72;3044;3.535424;83;1235;3.267196;7
5310;3.493421;8;91;285;424;375;220;100;23;2;53100;888;3.509881;72;3044;3.535424;83;1378;3.394089;7
5476;3.505762;8;92;287;438;386;230;103;24;2;54760;888;3.509881;72;3210;3.554817;83;1378;3.394089;7
5546;3.499054;8;93;295;446;388;233;104;24;2;55460;958;3.471014;72;3210;3.554817;83;1378;3.394089;7
5720;3.513514;8;94;296;459;401;244;107;25;2;57200;958;3.471014;72;3384;3.577167;83;1378;3.394089;7
5802;3.501509;8;95;307;470;405;246;107;25;2;58020;958;3.471014;72;3384;3.577167;83;1460;3.356322;7
5908;3.502075;8;96;311;481;413;250;109;25;2;59080;958;3.471014;72;3384;3.577167;83;1566;3.367742;7
5986;3.498539;8;97;314;491;422;251;109;25;2;59860;1036;3.453333;72;3384;3.577167;83;1566;3.367742;7
6061;3.491359;8;98;323;500;424;254;110;25;2;60610;1111;3.418462;72;3384;3.577167;83;1566;3.367742;7
6237;3.503933;8;99;326;507;444;264;113;25;2;62370;1111;3.418462;72;3560;3.595960;83;1566;3.367742;7
6377;3.494247;8;100;340;521;456;267;114;25;2;63770;1111;3.418462;72;3700;3.574879;83;1566;3.367742;7
6563;3.507750;8;101;342;528;479;277;117;25;2;65630;1111;3.418462;72;3886;3.594820;83;1566;3.367742;7
6825;3.558394;8;102;343;529;484;286;138;32;4;68250;1111;3.418462;72;4148;3.677305;83;1566;3.367742;7
6941;3.561313;8;103;344;540;496;290;140;32;4;69410;1111;3.418462;72;4148;3.677305;83;1682;3.391129;7
7075;3.571429;8;104;348;542;507;301;141;34;4;70750;1111;3.418462;72;4148;3.677305;83;1816;3.439394;7
7180;3.577479;8;105;350;545;517;310;142;34;4;71800;1216;3.464387;72;4148;3.677305;83;1816;3.439394;7
7261;3.569813;8;106;360;554;520;313;143;34;4;72610;1297;3.431217;72;4148;3.677305;83;1816;3.439394;7
7529;3.616234;8;107;361;555;525;322;165;41;6;75290;1297;3.431217;72;4416;3.755102;83;1816;3.439394;7
7687;3.607227;8;108;376;569;538;325;168;41;6;76870;1297;3.431217;72;4574;3.733878;83;1816;3.439394;7
7810;3.617415;8;109;380;571;541;337;174;41;6;78100;1420;3.497537;72;4574;3.733878;83;1816;3.439394;7
7925;3.622029;8;110;381;581;550;340;178;42;6;79250;1535;3.528736;72;4574;3.733878;83;1816;3.439394;7
8201;3.664433;8;111;383;582;555;349;201;49;8;82010;1535;3.528736;72;4850;3.803922;83;1816;3.439394;7
